Date,Day,Approved Strength,Required Strength,Onroll,Contractor,App,C.Off,Total (Onroll Strength),OJT,Onroll Present,Contractor Present,App Present,Total Present,OJT Present,Extra Hours,Extra Hours Mandays,Total Manpower Utilized,Gap,Cumulative Mandays,Manpower Shortage % (Approved),Manpower Shortage % (Required),Informed Leave
2026-01-24,Saturday,300,285,123,241,0,0,123,0,123,241,0,364,0,435.58,54.45,418.45,133.45,364,-39.48,-46.82,0
2026-02-24,Tuesday,300,285,123,241,0,0,123,0,123,241,0,364,0,435.58,54.45,418.45,133.45,728,-39.48,-46.82,0
2026-03-24,Tuesday,300,285,123,241,0,0,123,0,123,241,0,364,0,435.58,54.45,418.45,133.45,1092,-39.48,-46.82,0
2026-03-30,Monday,300,285,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-285.0,1092,100.0,100.0,1
2026-04-03,Friday,300,285,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-285.0,1092,100.0,100.0,2
2026-04-04,Saturday,300,285,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-285.0,1092,100.0,100.0,2
2026-04-05,Sunday,NA,NA,123,241,0,0,123,0,123,241,0,364,0,435.58,54.45,418.45,NA,NA,NA,NA,0
2026-04-06,Monday,300,285,123,239,0,0,123,0,123,239,0,362,0,433.17,54.15,416.15,131.15,1818,-38.72,-46.02,1
2026-04-07,Tuesday,300,285,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-285.0,1818,100.0,100.0,3
2026-04-08,Wednesday,300,285,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-285.0,1818,100.0,100.0,2
2026-04-09,Thursday,300,285,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-285.0,1818,100.0,100.0,1
2026-04-16,Thursday,300,285,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-285.0,1818,100.0,100.0,1
2026-04-17,Friday,300,285,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-285.0,1818,100.0,100.0,1
2026-04-24,Friday,300,285,123,241,0,0,123,0,123,241,0,364,0,435.58,54.45,418.45,133.45,2182,-39.48,-46.82,0
2026-05-24,Sunday,NA,NA,123,241,0,0,123,0,123,241,0,364,0,435.58,54.45,418.45,NA,NA,NA,NA,0
2026-06-24,Wednesday,300,285,123,241,0,0,123,0,123,241,0,364,0,435.58,54.45,418.45,133.45,2910,-39.48,-46.82,0
